system:index,B11_median,B12_median,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,B9_median,cloud_cover,clouds_count,date,lat,lon,product_id,sensor,shadows_count,site_no,solar_az,solar_zen,water_median,.geo
20160616T060634_20160616T094727_T45WVT_1,62.00000000000001,38.0,1213.9999999999998,353,844.9999999999999,550.0,398.00000000000006,361.99999999999994,289.0000000000001,264.99999999999994,205.99999999999997,223.99999999999994,101.0,0.0,353,2016-06-16,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160617T121321_R134_V20160616T060634_20160616T060634,Sentinel-2A,353,Yenisey,177.513779552954,46.4666108575138,0.7965763180853258,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160619T011652_20160619T011654_T57WWS_3,144.0,111.99999999999999,1216.0,351,911.0000000000001,701.0000000000001,553.0,493.0,378.00000000000006,364.0,302.00000000000006,313.0,117.00000000000003,15.2894,351,2016-06-19,68.75,161.3,S2A_MSIL1C_20160619T011652_N0204_R031_T57WWS_20160619T011654,Sentinel-2A,351,Kolyma,179.303729765,45.4919450719,0.6579886364183622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160619T011654_20160619T030315_T57WWS_3,144.0,111.99999999999999,1216.0,351,911.0000000000001,701.0000000000001,553.0,493.0,378.00000000000006,364.0,302.00000000000006,313.0,117.00000000000003,15.2894,351,2016-06-19,68.75,161.3,S2A_OPER_PRD_MSIL1C_PDMC_20160619T034432_R031_V20160619T011654_20160619T011654,Sentinel-2A,351,Kolyma,179.303729765281,45.4919450719181,0.6579886364183622,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160621T033542_20160621T033833_T51WWQ_2,28.999999999999993,18.0,1056.0,351,721.0,483.0,377.99999999999994,357.00000000000006,260.99999999999994,243.99999999999997,169.00000000000003,197.0,58.999999999999986,8.7838,351,2016-06-21,66.76905,123.39458,S2A_MSIL1C_20160621T033542_N0204_R061_T51WWQ_20160621T033833,Sentinel-2A,351,Lena,178.153348152,43.6936690744,0.8869471896339106,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160621T033833_20160621T090849_T51WWQ_2,28.999999999999993,18.0,1056.0,351,721.0,483.0,377.99999999999994,357.00000000000006,260.99999999999994,243.99999999999997,169.00000000000003,197.0,58.999999999999986,8.7838,351,2016-06-21,66.76905,123.39458,S2A_OPER_PRD_MSIL1C_PDMC_20160621T113831_R061_V20160621T033833_20160621T033833,Sentinel-2A,351,Lena,178.153348151956,43.693669074387,0.8869471896339106,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160626T010652_20160626T010718_T57WWS_3,53.00000000000001,35.99999999999999,1121.0,351,812.0,577.0,370.99999999999994,317.00000000000006,256.0,236.0,179.0,195.99999999999997,81.0,33.783,351,2016-06-26,68.75,161.3,S2A_MSIL1C_20160626T010652_N0204_R131_T57WWS_20160626T010718,Sentinel-2A,351,Kolyma,175.613859558,45.6155153227,0.8328076004981995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160626T010718_20160626T043547_T57WWS_3,53.00000000000001,35.99999999999999,1121.0,351,812.0,577.0,370.99999999999994,317.00000000000006,256.0,236.0,179.0,195.99999999999997,81.0,33.783,351,2016-06-26,68.75,161.3,S2A_OPER_PRD_MSIL1C_PDMC_20160626T052407_R131_V20160626T010718_20160626T010718,Sentinel-2A,351,Kolyma,175.613859557744,45.6155153226897,0.8328076004981995,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160628T032538_20160628T070332_T51WWQ_2,67.99999999999999,52.00000000000001,1121.0,351,777.0,529.0,404.0,379.99999999999994,291.0,271.0,202.0,231.0,77.0,20.0447,351,2016-06-28,66.76905,123.39458,S2A_OPER_PRD_MSIL1C_PDMC_20160628T083826_R018_V20160628T032538_20160628T032538,Sentinel-2A,351,Lena,174.366914879511,43.9447113577625,0.7721943259239197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160628T032542_20160628T032538_T51WWQ_2,67.99999999999999,52.00000000000001,1121.0,351,777.0,529.0,404.0,379.99999999999994,291.0,271.0,202.0,231.0,77.0,20.0447,351,2016-06-28,66.76905,123.39458,S2A_MSIL1C_20160628T032542_N0204_R018_T51WWQ_20160628T032538,Sentinel-2A,351,Lena,174.36691488,43.9447113578,0.7721943259239197,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060632_20160706T060634_T44WPC_1,36.00000000000001,16.0,1254.9999999999998,346,860.0,550.0,336.99999999999994,296.0,285.9999999999999,260.0,192.00000000000003,212.99999999999991,74.0,3.50051665655817,346,2016-07-06,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160706T060632_N0500_R134_T44WPC_20231002T141351,Sentinel-2A,346,Yenisey,175.24680657153,47.1900807073678,0.8776501719768232,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060632_20160706T060634_T45WVS_1,36.0,17.0,1254.0000000000002,353,862.0000000000003,550.0000000000001,337.00000000000006,296.99999999999994,286.00000000000006,260.0,199.99999999999997,212.99999999999994,73.99999999999999,17.4276,353,2016-07-06,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160706T060632_N0204_R134_T45WVS_20160706T060634,Sentinel-2A,353,Yenisey,176.336862864275,46.3144389442138,0.8771331310272217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060632_20160706T060634_T45WVT_1,36.00000000000001,16.0,1254.9999999999995,353,860.0000000000001,549.0,336.99999999999994,295.0,285.9999999999999,259.99999999999994,192.0,213.00000000000003,74.00000000000001,1.60599456116382,353,2016-07-06,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160706T060632_N0500_R134_T45WVT_20231002T141351,Sentinel-2A,353,Yenisey,176.259029948126,47.2113137897707,0.877342402935028,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060634_20160706T095009_T44WPC_1,35.99999999999999,16.999999999999996,1255.0,346,862.0,549.9999999999999,337.00000000000006,296.99999999999994,286.0,260.00000000000006,200.0,212.99999999999997,75.0,1.8693,346,2016-07-06,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160706T144841_R134_V20160706T060634_20160706T060634,Sentinel-2A,346,Yenisey,175.245702890601,47.1899733469437,0.8767141028515344,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060634_20160706T095009_T45WVS_1,36.0,17.0,1254.0000000000002,353,862.0000000000003,550.0000000000001,337.00000000000006,296.99999999999994,286.00000000000006,260.0,199.99999999999997,212.99999999999994,73.99999999999999,17.4276,353,2016-07-06,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160706T144841_R134_V20160706T060634_20160706T060634,Sentinel-2A,353,Yenisey,176.336862864275,46.3144389442138,0.8771331310272217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160706T060634_20160706T095009_T45WVT_1,36.0,17.0,1254.0000000000002,353,862.0000000000003,550.0000000000001,337.00000000000006,296.99999999999994,286.0,259.99999999999994,200.0,212.99999999999994,75.00000000000001,0.8257,353,2016-07-06,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160706T144841_R134_V20160706T060634_20160706T060634,Sentinel-2A,353,Yenisey,176.257925320835,47.2112010785983,0.8771331310272217,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072618_20160710T093842_T41WPP_0,220.0,119.0,1859.0,350,1463.0,1100.0,863.0,808.0,817.0,827.0,726.0,678.9999999999999,191.99999999999997,18.8354,350,2016-07-10,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160710T120503_R049_V20160710T072618_20160710T072618,Sentinel-2A,350,Ob,177.136579022074,44.0513066120199,0.6667297631502151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072618_20160710T093842_T41WPQ_0,220.0,119.0,1859.0,350,1463.0,1100.0,863.0,808.0,817.0,827.0,726.0,678.9999999999999,191.99999999999997,43.8234,350,2016-07-10,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160710T120503_R049_V20160710T072618_20160710T072618,Sentinel-2A,350,Ob,177.270847053161,44.9439579458242,0.6667297631502151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072622_20160710T072618_T41WPP_0,220.0,119.0,1859.0,350,1463.0,1100.0,863.0,808.0,817.0,827.0,726.0,678.9999999999999,191.99999999999997,18.8354,350,2016-07-10,66.63000000000001,66.6,S2A_MSIL1C_20160710T072622_N0204_R049_T41WPP_20160710T072618,Sentinel-2A,350,Ob,177.136579022074,44.0513066120199,0.6667297631502151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072622_20160710T072618_T41WPQ_0,220.0,119.0,1859.0,350,1463.0,1100.0,863.0,808.0,817.0,827.0,726.0,678.9999999999999,191.99999999999997,43.8234,350,2016-07-10,66.63000000000001,66.6,S2A_MSIL1C_20160710T072622_N0204_R049_T41WPQ_20160710T072618,Sentinel-2A,350,Ob,177.270847053161,44.9439579458242,0.6667297631502151,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072622_20160710T073049_T41WPP_0,219.99999999999997,119.0,1859.0,350,1464.0,1100.0,863.0000000000001,808.0,816.9999999999999,827.0,726.0,679.0000000000001,191.99999999999997,3.8773,350,2016-07-10,66.63000000000001,66.6,S2A_MSIL1C_20160710T072622_N0204_R049_T41WPP_20160710T073049,Sentinel-2A,350,Ob,177.136579022074,44.0513066120199,0.6668352683385214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T072622_20160710T073049_T41WPQ_0,219.99999999999997,119.0,1859.0,350,1463.0000000000002,1100.0,863.0000000000001,808.0,816.9999999999999,827.0,726.0,679.0000000000001,191.99999999999997,39.0251,350,2016-07-10,66.63000000000001,66.6,S2A_MSIL1C_20160710T072622_N0204_R049_T41WPQ_20160710T073049,Sentinel-2A,350,Ob,177.270847053161,44.9439579458241,0.6668352683385214,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160710T073049_20160710T111136_T41WPP_0,219.99999999999997,119.0,1859.0,350,1464.0,1100.0,863.0000000000001,808.0,816.9999999999999,827.0,726.0,679.0000000000001,191.99999999999997,3.8773,350,2016-07-10,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160710T144259_R049_V20160710T073049_20160710T073049,Sentinel-2A,350,Ob,177.136579022074,44.0513066120199,0.6668352683385214,"{""type"":""MultiPoint"",""coordinates"":[]}"
