system:index,latitude,longitude,site_no,snow_depth,temperature_2m_max,total_precipitation_sum,.geo
19500403_0,76.111,102.531,taymyr_peninsula,0.6986083984375,264.00062561035156,0.0015663534401824108,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500404_0,76.111,102.531,taymyr_peninsula,0.6995849609375,264.5072784423828,0.004243791103363037,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500405_0,76.111,102.531,taymyr_peninsula,0.713134765625,262.66944885253906,0.002243471327290081,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500406_0,76.111,102.531,taymyr_peninsula,0.7069905598958334,255.42335510253906,9.875893592337093E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500407_0,76.111,102.531,taymyr_peninsula,0.7032470703125,252.1239471435547,4.6688985685605644E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500408_0,76.111,102.531,taymyr_peninsula,0.7038981119791666,250.5613555908203,6.936490535736084E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500409_0,76.111,102.531,taymyr_peninsula,0.69970703125,247.61993408203125,1.0305643002084253E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500410_0,76.111,102.531,taymyr_peninsula,0.6969807942708334,248.47866821289062,6.635240589503155E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500411_0,76.111,102.531,taymyr_peninsula,0.6945393880208334,249.75144958496094,9.168386452529376E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500412_0,76.111,102.531,taymyr_peninsula,0.6921793619791666,249.96356201171875,4.8983094814047945E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500413_0,76.111,102.531,taymyr_peninsula,0.6890055338541666,248.48681640625,3.600120521696226E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500414_0,76.111,102.531,taymyr_peninsula,0.685791015625,248.37570190429688,3.725290298461914E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500415_0,76.111,102.531,taymyr_peninsula,0.6824951171875,248.73001098632812,8.583068620282575E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500416_0,76.111,102.531,taymyr_peninsula,0.67919921875,250.6834259033203,4.351138613856165E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500417_0,76.111,102.531,taymyr_peninsula,0.6749267578125,253.44302368164062,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500418_0,76.111,102.531,taymyr_peninsula,0.6700032552083334,254.8619842529297,1.7225742112714215E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500419_0,76.111,102.531,taymyr_peninsula,0.6646321614583334,256.0773162841797,5.551576612106146E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500420_0,76.111,102.531,taymyr_peninsula,0.6584065755208334,257.8273162841797,6.222724909576982E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500421_0,76.111,102.531,taymyr_peninsula,0.6515706380208334,257.78501892089844,2.580881118774414E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500422_0,76.111,102.531,taymyr_peninsula,0.645263671875,257.12890625,8.34465015486785E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500423_0,76.111,102.531,taymyr_peninsula,0.6396891276041666,253.56393432617188,1.7881393432617188E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500424_0,76.111,102.531,taymyr_peninsula,0.6345621744791666,259.41258239746094,7.778406029501639E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500425_0,76.111,102.531,taymyr_peninsula,0.6307779947916666,261.4639587402344,0.0019615143537521362,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500426_0,76.111,102.531,taymyr_peninsula,0.654052734375,264.72930908203125,0.0037993639707565308,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500427_0,76.111,102.531,taymyr_peninsula,0.6676025390625,268.51353454589844,0.005463558435337745,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500428_0,76.111,102.531,taymyr_peninsula,0.6772054036458334,266.0921630859375,1.969218253066174E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500429_0,76.111,102.531,taymyr_peninsula,0.6755777994791666,267.6302490234375,0.003384643793104658,"{""type"":""MultiPoint"",""coordinates"":[]}"
