"project","river","date","ID","parameter","flag","unit","value","depth"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","PN-15N","AV","per mil","6.1","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","POC","AV","mg/L","1.82","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","POC-13C","AV","per mil","-31","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","POC-14C","PV","per mil","-350.23","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","POC-fm","PV","NA","0.6553","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","Rb","AV","ug/L","0.74","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","SiO2","AV","mg/L","4.5","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","SO4","AV","mg/L as S","2","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","Sr","AV","ug/L","119","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","TDN","AV","mg/L","0.29","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","Temperature","AV","deg C","8","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","TSS","AV","mg/L","9.2","0"
"ArcticGRO IV","Ob'","2020-08-30","Kit 49","U","AV","ug/L","0.37","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","A254","PV","A","0.298","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","A375","PV","A","0.044","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","A412","PV","A","0.022","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","A420","PV","A","0.019","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","A440","PV","A","0.01","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Alkalinity","AV","mg CaCO3/L","66.9","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Ba","AV","ug/L","15","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Ca","AV","mg/L","19.7","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Cl","AV","mg/L","5","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Discharge","PV","m3/sec","8410","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","DOC","CV","mg/L","8.45","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","F","AV","ug/L","76","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","H2O-18O","AV","per mil","-14.1","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","H2O-2H","AV","per mil","-106","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","K","AV","mg/L","0.78","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Li","AV","ug/L","2.68","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Mg","AV","mg/L","4.9","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Na","AV","mg/L","8.33","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","NH4","AV","ug/L as N","60","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","NO3","AV","ug/L as N","114","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","PN","AV","ug/L","73","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","PN-15N","AV","per mil","4.1","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","POC","AV","mg/L","0.56","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","POC-13C","AV","per mil","-32.6","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Rb","AV","ug/L","0.64","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","SiO2","AV","mg/L","8.4","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","SO4","AV","mg/L as S","2","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Sr","AV","ug/L","117","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","TDN","AV","mg/L","0.41","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","Temperature","AV","deg C","1","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","TSS","AV","mg/L","10.7","0"
"ArcticGRO IV","Ob'","2020-11-04","Kit 50","U","AV","ug/L","0.38","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","A254","PV","A","0.245","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","A375","PV","A","0.037","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","A412","PV","A","0.019","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","A420","PV","A","0.016","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","A440","PV","A","0.01","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Alkalinity","AV","mg CaCO3/L","70.2","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Ba","AV","ug/L","15","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Ca","AV","mg/L","19.4","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Cl","AV","mg/L","6.2","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Discharge","PV","m3/sec","6180","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","DOC","CV","mg/L","7.331","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","F","AV","ug/L","58","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","H2O-18O","AV","per mil","-14.8","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","H2O-2H","AV","per mil","-110","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","K","AV","mg/L","0.88","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Li","AV","ug/L","3.06","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Mg","AV","mg/L","5.17","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Na","AV","mg/L","9.79","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","NH4","AV","ug/L as N","153","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","NO3","AV","ug/L as N","152","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","PN","AV","ug/L","102","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","PN-15N","AV","per mil","5","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","POC","AV","mg/L","0.82","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","POC-13C","AV","per mil","-30.7","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","POC-14C","PV","per mil","-319.21","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","POC-fm","PV","NA","0.6866","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Rb","AV","ug/L","0.69","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","SiO2","AV","mg/L","10.9","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","SO4","AV","mg/L as S","1.9","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Sr","AV","ug/L","118","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","TDN","AV","mg/L","0.52","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","TSS","AV","mg/L","10.4","0"
"ArcticGRO IV","Ob'","2020-12-13","Kit 51","U","AV","ug/L","0.33","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","A254","PV","A","0.251","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","A375","PV","A","0.034","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","A412","PV","A","0.018","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","A420","PV","A","0.016","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","A440","PV","A","0.01","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Alkalinity","AV","mg CaCO3/L","36.9","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Ba","AV","ug/L","8","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Ca","AV","mg/L","17.7","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Cl","AV","mg/L","9.2","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Discharge","PV","m3/sec","5720","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","DOC","CV","mg/L","7.234","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","F","AV","ug/L","69.3","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","H2O-18O","AV","per mil","-15.2","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","H2O-2H","AV","per mil","-117","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","K","AV","mg/L","1.08","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Li","AV","ug/L","3.36","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Mg","AV","mg/L","5.78","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Na","AV","mg/L","12","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","NH4","AV","ug/L as N","237","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","NO3","AV","ug/L as N","236","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","PN","AV","ug/L","72","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","PN-15N","AV","per mil","3.1","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","POC","AV","mg/L","0.95","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","POC-13C","AV","per mil","-29","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Rb","AV","ug/L","0.78","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","SiO2","AV","mg/L","17.8","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","SO4","AV","mg/L as S","1.9","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Sr","AV","ug/L","117","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","TDN","AV","mg/L","0.67","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","TSS","AV","mg/L","8.8","0"
"ArcticGRO IV","Ob'","2021-01-16","Kit 52","U","AV","ug/L","0.19","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","A254","PV","A","0.133","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","A375","PV","A","0.017","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","A412","PV","A","0.008","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","A420","PV","A","0.007","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","A440","PV","A","0","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Alkalinity","AV","mg CaCO3/L","104.5","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","As","AV","ug/L","0.35","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Discharge","PV","m3/sec","5010","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","DOC","CV","mg/L","4.182","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","F","AV","ug/L","64.6","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","H2O-18O","AV","per mil","-15.1","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","H2O-2H","AV","per mil","-113","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","K","AV","mg/L","0.4","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Mg","AV","mg/L","2.25","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Na","AV","mg/L","3.4","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","NH4","AV","ug/L as N","3","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","NO3","CAU","ug/L as N","941","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","PN","AV","ug/L","183","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","PN-15N","AV","per mil","5.9","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","POC","AV","mg/L","1.2","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","POC-13C","AV","per mil","-29.4","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","POC-14C","PV","per mil","-545.35","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","POC-fm","PV","NA","0.4586","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Rb","CV","ug/L","0.31","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","SiO2","AV","mg/L","15.9","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Sr","CV","ug/L","124","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","TDN","AV","mg/L","1.02","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2021-03-28","Kit 53","TSS","AV","mg/L","8.2","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","A254","PV","A","0.304","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","A375","PV","A","0.053","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","A412","PV","A","0.034","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","A420","PV","A","0.03","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","A440","PV","A","0.02","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Alkalinity","AV","mg CaCO3/L","22.1","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Ba","AV","ug/L","14","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Ca","AV","mg/L","13","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Cl","AV","mg/L","4.4","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Discharge","PV","m3/sec","33000","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","DOC","CV","mg/L","7.374","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","F","AV","ug/L","53.2","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","H2O-18O","AV","per mil","-16.1","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","H2O-2H","AV","per mil","-122","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","K","AV","mg/L","1.16","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Li","AV","ug/L","1.96","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Mg","AV","mg/L","3.17","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Na","AV","mg/L","6.47","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","NH4","AV","ug/L as N","3","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","NO3","CAU","ug/L as N","695","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","PN","AV","ug/L","132","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","PN-15N","AV","per mil","6.6","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","POC","AV","mg/L","1.3","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","POC-13C","AV","per mil","-28.3","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","POC-14C","PV","per mil","-656.22","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","POC-fm","PV","NA","0.3467","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Rb","AV","ug/L","0.77","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","SiO2","AV","mg/L","5.2","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","SO4","AV","mg/L as S","2.5","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Sr","AV","ug/L","81","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","TDN","CAU","mg/L","0.85","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","Temperature","AV","deg C","2","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","TSS","AV","mg/L","23.6","0"
"ArcticGRO IV","Ob'","2021-05-30","Kit 54","U","AV","ug/L","0.14","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","A254","PV","A","0.374","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","A375","PV","A","0.063","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","A412","PV","A","0.035","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","A420","PV","A","0.031","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","A440","PV","A","0.02","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Alkalinity","AV","mg CaCO3/L","50.9","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Ba","AV","ug/L","15","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Ca","AV","mg/L","12.7","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Cl","CAU","mg/L","1.6","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Discharge","PV","m3/sec","25500","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","DOC","CV","mg/L","9.011","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","F","AV","ug/L","53.2","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","H2O-18O","AV","per mil","-14.4","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","H2O-2H","AV","per mil","-113","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","K","AV","mg/L","0.69","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Li","AV","ug/L","1.29","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Mg","AV","mg/L","2.37","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Na","AV","mg/L","3.13","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","NH4","AV","ug/L as N","2","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","NO3","AV","ug/L as N","56","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","PN","AV","ug/L","129","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","PN-15N","AV","per mil","4.8","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","POC","AV","mg/L","0.83","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","POC-13C","AV","per mil","-28.3","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","POC-14C","PV","per mil","-801.56","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","POC-fm","PV","NA","0.2002","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Rb","AV","ug/L","0.45","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","SiO2","AV","mg/L","4.5","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","SO4","AV","mg/L as S","1.1","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Sr","AV","ug/L","77","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","TDN","AV","mg/L","0.33","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","Temperature","AV","deg C","9","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","TSS","AV","mg/L","5.3","0"
"ArcticGRO IV","Ob'","2021-07-31","Kit 55","U","AV","ug/L","0.1","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","A254","PV","A","0.388","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","A375","PV","A","0.061","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","A412","PV","A","0.032","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","A420","PV","A","0.028","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","A440","PV","A","0.02","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Alkalinity","AV","mg CaCO3/L","40.6","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Ba","AV","ug/L","19","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Ca","AV","mg/L","20","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Cl","AV","mg/L","4.4","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Discharge","PV","m3/sec","13400","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","DOC","CV","mg/L","9.644","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","F","AV","ug/L","73.1","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","H2O-18O","AV","per mil","-13.5","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","H2O-2H","AV","per mil","-101","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","K","AV","mg/L","0.87","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Li","AV","ug/L","2.68","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Mg","AV","mg/L","4.71","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Na","AV","mg/L","7.92","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","NH4","AV","ug/L as N","37","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","NO3","AV","ug/L as N","85","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","PN","AV","ug/L","123","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","PN-15N","AV","per mil","5.5","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","POC","AV","mg/L","0.83","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","POC-13C","AV","per mil","-28.8","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","POC-14C","PV","per mil","-475.38","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","POC-fm","PV","NA","0.5291","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Rb","AV","ug/L","0.58","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","SiO2","AV","mg/L","7.6","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","SO4","AV","mg/L as S","1.9","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Sr","AV","ug/L","120","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","TDN","AV","mg/L","0.39","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","Temperature","AV","deg C","6","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","TSS","AV","mg/L","5","0"
"ArcticGRO IV","Ob'","2021-09-25","Kit 56","U","AV","ug/L","0.46","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","A254","PV","A","0.315","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","A375","PV","A","0.048","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","A412","PV","A","0.025","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","A420","PV","A","0.022","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","A440","PV","A","0.02","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Alkalinity","AV","mg CaCO3/L","40.3","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Ba","AV","ug/L","17","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Ca","AV","mg/L","19.8","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Cl","AV","mg/L","6.2","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Discharge","PV","m3/sec","5000","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","DOC","CV","mg/L","8.875","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","F","AV","ug/L","65.5","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","H2O-18O","AV","per mil","-14.3","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","H2O-2H","AV","per mil","-107","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","K","AV","mg/L","0.97","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Li","AV","ug/L","2.92","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Mg","AV","mg/L","5.01","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Na","AV","mg/L","9.76","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","NH4","AV","ug/L as N","102","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","NO3","AV","ug/L as N","161","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","PN","AV","ug/L","123","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","PN-15N","AV","per mil","4.4","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","POC","AV","mg/L","2.2","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","POC-13C","AV","per mil","-28.6","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","POC-14C","PV","per mil","-365.03","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","POC-fm","PV","NA","0.6404","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Rb","AV","ug/L","0.75","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","SiO2","AV","mg/L","11.3","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","SO4","AV","mg/L as S","1.7","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Sr","AV","ug/L","120","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","TDN","AV","mg/L","0.56","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","TSS","AV","mg/L","9.2","0"
"ArcticGRO IV","Ob'","2021-11-27","Kit 57","U","AV","ug/L","0.35","0"
"ArcticGRO IV","Ob'","2022-02-27","Kit 58","Discharge","PV","m3/sec","4500","0"
"ArcticGRO IV","Ob'","2022-02-27","Kit 58","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2022-04-29","Kit 59","Discharge","PV","m3/sec","4800","0"
"ArcticGRO IV","Ob'","2022-04-29","Kit 59","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2022-06-29","Kit 60","Discharge","PV","m3/sec","33800","0"
"ArcticGRO IV","Ob'","2022-06-29","Kit 60","Temperature","AV","deg C","3","0"
"ArcticGRO IV","Ob'","2022-08-06","Kit 61","Discharge","PV","m3/sec","16000","0"
"ArcticGRO IV","Ob'","2022-08-06","Kit 61","Temperature","AV","deg C","17","0"
"ArcticGRO IV","Ob'","2022-10-19","Kit 62","Discharge","PV","m3/sec","8830","0"
"ArcticGRO IV","Ob'","2022-10-19","Kit 62","Temperature","AV","deg C","7","0"
"ArcticGRO IV","Ob'","2022-12-04","Kit 63","Discharge","PV","m3/sec","4760","0"
"ArcticGRO IV","Ob'","2022-12-04","Kit 63","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2023-01-28","Kit 64","Discharge","PV","m3/sec","4230","0"
"ArcticGRO IV","Ob'","2023-01-28","Kit 64","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2023-03-31","Kit 65","Discharge","PV","m3/sec","8540","0"
"ArcticGRO IV","Ob'","2023-03-31","Kit 65","Temperature","AV","deg C","0","0"
"ArcticGRO IV","Ob'","2023-05-14","Kit 66","Discharge","PV","m3/sec","11730","0"
"ArcticGRO IV","Ob'","2023-05-14","Kit 66","Temperature","AV","deg C","0.5","0"
