system:index,area_km2,count,label,label2024,latitude,longitude,year,.geo
7_00000000000000000120_5_0000000000000000008b,0.009409677365515241,11,797261894396008,7_00000000000000000120,76.22210901850212,100.05317227291806,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000120_7_00000000000000000120,0.0025663411396304354,3,797296254134375,7_00000000000000000120,76.22142300416925,100.05606316525426,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000120_7_0000000000000000011f,0.030795982874647427,33,797249009494119,7_00000000000000000120,76.22230638281329,100.05095774550175,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_6_0000000000000000019a,0.002566396497112581,3,802703617960036,7_000000000000000001f0,76.21980606991427,100.73465044286283,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_6_00000000000000000199,0.02309985978786745,27,802682143123556,7_000000000000000001f0,76.22062451503652,100.73161619809312,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_7_000000000000000001f0,0.002566396497112581,3,802703617960036,7_000000000000000001f0,76.21980606991427,100.73465044286283,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_000000000000000001f0_7_000000000000000001ef,0.02309985978786745,27,802682143123556,7_000000000000000001f0,76.22062451503652,100.73161619809312,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_4_00000000000000000078,0.019558877288345218,23,805383677552897,7_0000000000000000021f,76.30503666160949,101.07332327219896,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_5_0000000000000000012b,0.002551094388643097,3,805405152389376,7_0000000000000000021f,76.30388837987981,101.07367469959405,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_5_0000000000000000012c,0.030615220361224747,36,805426627225856,7_0000000000000000021f,76.30489147755915,101.07472291398622,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_6_000000000000000001b4,0.002551094388643097,3,805405152389376,7_0000000000000000021f,76.30388837987981,101.07367469959405,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_6_000000000000000001b6,0.03741859850701616,44,805426627225856,7_0000000000000000021f,76.30494184590506,101.075365293105,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_7_0000000000000000021f,0.002551094388643097,3,805405152389376,7_0000000000000000021f,76.30388837987981,101.07367469959405,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000021f_7_00000000000000000220,0.04422128276408882,52,805426627225856,7_0000000000000000021f,76.30497671523445,101.07489792125381,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000022e_7_0000000000000000022e,0.0025683736102310255,3,805645670557781,7_0000000000000000022e,76.21172122073224,101.10385801700521,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0000000000000000022e_7_0000000000000000022f,0.007704660338774909,9,805680030296149,7_0000000000000000022e,76.21208056718643,101.10691237684713,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_5_00000000000000000136,0.0025690647190311088,3,805735864870989,7_00000000000000000235,76.20740932698054,101.11517697237727,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_5_00000000000000000139,0.01113234932844415,13,805757339707469,7_00000000000000000235,76.2079068272216,101.11820352249899,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_6_000000000000000001c3,0.0025690647190311088,3,805735864870989,7_00000000000000000235,76.20740932698054,101.11517697237727,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_6_000000000000000001c6,0.015413804722015817,18,805757339707469,7_00000000000000000235,76.20791835077661,101.11885995899355,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_7_00000000000000000235,0.0025690647190311088,3,805735864870989,7_00000000000000000235,76.20740932698054,101.11517697237727,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000235_7_00000000000000000239,0.015413804722015817,18,805757339707469,7_00000000000000000235,76.20791835077661,101.11885995899355,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
