Area, RTSID, location_center_lat, location_center_lon, change_vol_year, change_area_year, dem_avg_slope, dem_aspect, dem_elevation, location,
Peel,207,67.86146051,-135.6971055,5357.73512,1553.945079,15.87687683,152.5472233,553.3996582, hillslope, 
Peel,208,67.88629299,-135.5550185,15284.72527,3024.344724,11.12833023,215.3944074,557.8983765, hillslope, 
Peel,209,67.82893602,-135.5463271,886.6551578,356.46052,15.75437546,340.514845,340.6053772, hillslope, 
Peel,210,67.83012556,-135.5409717,2406.241429,640.5149969,18.45321846,323.0158565,345.785675, hillslope, 
Peel,211,67.80566263,-135.5869063,7065.301338,1091.660342,14.90023899,42.91243761,295.1274414, hillslope, 
Peel,212,67.86312309,-135.479611,6784.78125,1656.984448,21.01196861,78.29144919,292.0580444, hillslope, 
Peel,213,67.72029146,-136.0889034,9094.788927,2010.660121,7.219225407,306.2003038,299.4891052, hillslope, 
Peel,214,67.74294121,-135.8392972,3460.436186,1102.799734,8.148983955,289.7054004,294.5641479, hillslope, 
Peel,215,67.71618127,-135.8279977,21868.50493,4310.944414,14.31050777,214.8520211,260.1526184, hillslope, 
Peel,217,67.7083536,-135.8057238,2153.558644,662.7937794,15.56147003,248.4100101,254.1940765, hillslope, 
Peel,218,67.73886705,-135.8062861,2037.353798,807.6058656,7.34139967,18.13406446,308.5900269, lakeshore, 
Peel,219,67.73748884,-135.7367712,3595.069742,1208.623951,9.14915657,191.8995086,309.0756836, lakeshore, 
Peel,220,67.75835238,-135.7345782,4047.22881,874.4422131,26.39328766,189.4082506,446.8612671, hillslope, 
Peel,221,67.77438657,-135.7441614,1419.676457,556.9695625,11.32099724,12.54888645,410.9781189, hillslope, 
Peel,222,67.78170194,-135.7022661,1193.153801,534.69078,11.08137703,265.7205049,314.2834167, hillslope, 
Peel,223,67.76470651,-135.6794546,7461.500671,1130.648212,12.76405525,223.7034806,296.8113403, hillslope, 
Peel,224,67.7070334,-135.6319683,2637.023454,852.1634306,8.180878639,206.0545528,258.7938538, lakeshore, 
Peel,225,67.75509603,-135.5363547,1226.205002,629.3756056,18.34696007,26.25028936,147.9393158, hillslope, 
Peel,226,67.71407223,-135.4984721,9691.003444,2116.484337,10.71008587,339.498052,150.8715973, hillslope, 
Peel,228,67.6827175,-135.9923933,29170.04003,6087.677318,9.536639214,26.11167461,581.5049438, hillslope, 
Peel,229,67.60384252,-135.9542619,2326.409239,896.7209956,9.971772194,338.0105714,527.0529785, hillslope, 
Peel,230,67.62520376,-135.9121921,2443.366388,618.2362144,10.22079563,355.6340172,454.3521118, hillslope, 
Peel,231,67.64578538,-135.8184999,2074.914229,556.9695625,10.16585636,171.9973892,349.1231384, hillslope, 
Peel,232,67.66215089,-135.7625085,8740.864243,1459.260254,11.8793478,140.7986967,315.5429077, hillslope, 
Peel,233,67.69288672,-135.7990176,2937.053071,629.3756056,12.92520332,321.7901017,233.7481842, hillslope, 
Peel,234,67.68561214,-135.8182324,24291.09935,3297.25981,13.20700264,112.0360757,294.8650818, hillslope, 
Peel,235,67.69306614,-135.9201364,971.8731326,428.8665631,10.05990887,349.0397326,341.744812, hillslope, 
Peel,236,67.64707213,-135.6611028,14491.5584,5480.580495,18.93022156,235.5652203,237.9805145, hillslope, 
Peel,237,67.60735824,-135.6681554,13193.23742,2138.76312,11.61452866,35.92179794,367.4820862, hillslope, 
Peel,238,67.62025739,-135.5653077,3011.476361,1364.575428,7.025947571,34.84374504,286.4503174, hillslope, 
Peel,239,67.61852313,-135.5573691,18473.29459,2556.490292,12.15940475,5.950623981,282.8727722, hillslope, 
Peel,240,67.62021678,-135.5404292,3518.871757,590.3877362,15.29679012,12.27399543,258.3443604, hillslope, 
Peel,241,67.62456992,-135.5361959,2493.054777,718.4907356,11.91857052,32.3263398,263.7970276, hillslope, 
Peel,242,67.63357491,-135.547137,19607.62579,3442.071896,11.83560753,22.1505692,296.7375488, hillslope, 
Peel,243,67.63666863,-135.5392978,2217.577594,517.9816931,20.37672806,139.4614146,244.4464264, hillslope, 
Peel,244,67.64793773,-135.610402,8196.087399,1977.241947,7.858014584,286.3715698,287.2994385, hillslope, 
Peel,245,67.650674,-135.6044476,824.1839028,194.9393469,17.0409584,353.1535545,262.1405334, hillslope, 
Peel,246,67.66947045,-135.6221827,15639.03222,1826.860165,13.59384632,355.1261572,202.9451752, hillslope, 
Peel,247,67.67100321,-135.603132,17840.90451,1865.848034,8.085435867,298.9584714,235.0996094, hillslope, 
Peel,248,67.6845925,-135.5862525,3796.619703,657.2240837,10.95997238,125.5864792,203.2227783, hillslope, 
Peel,249,67.62498291,-135.7038223,1793.963385,601.5271275,16.15175438,345.0226552,252.9853363, hillslope, 
Peel,250,67.62602723,-135.6975531,1021.070128,300.7635637,9.636612892,351.448993,251.4303131, hillslope, 
Peel,251,67.63124482,-135.4239477,5614.50985,1726.605644,9.017650604,62.20896804,264.6278076, hillslope, 
Peel,252,67.62658254,-135.3735132,4987.730174,677.1821597,15.13268471,28.87112529,206.7674866, hillslope, 
Peel,253,67.53532413,-135.9876029,28030.3448,4205.120197,7.802322388,163.7571991,529.2658081, hillslope, 
Peel,254,67.52139105,-135.9556421,2990.80111,1063.811864,7.635384083,185.9718941,473.2709351, hillslope, 
Peel,255,67.53005217,-135.9440238,5805.736463,2645.605422,9.046951294,121.608892,475.1427307, hillslope, 
Peel,256,67.55937992,-135.866141,5660.558764,2088.635859,17.14292526,78.78845049,365.3503418, hillslope, 
Peel,257,67.56618414,-135.8745198,1468.335485,846.593735,14.9134264,280.8769893,388.9368286, hillslope, 
Peel,258,67.56782835,-135.8759504,1605.327425,478.9938237,15.91786003,234.5945589,372.2567139, hillslope, 
Peel,259,67.56715448,-135.8828669,3420.157877,857.7331262,16.6099453,58.40364121,392.1382141, hillslope, 
Peel,260,67.58608222,-135.9017779,21065.72377,4650.695847,5.212144852,25.52994554,427.077179, hillslope, 
Peel,261,67.58831926,-135.9139101,3289.624765,852.1634306,9.094186783,11.97065312,439.3266907, hillslope, 
Peel,262,67.556174,-135.9576087,726.0686696,350.8908244,13.914711,161.4626717,483.038208, hillslope, 
Peel,263,67.58696166,-135.7554938,4964.043578,1208.623951,9.114759445,83.0866125,351.0055542, hillslope, 
Peel,264,67.58787235,-135.7528351,647.4886746,250.6363031,10.90112114,112.5996514,336.2848816, hillslope, 
Peel,265,67.58509014,-135.7491455,26461.45241,5101.841192,7.56628561,349.340407,361.0801086, hillslope, 
Peel,266,67.59030786,-135.7545953,1129.485422,440.0059544,6.902245045,8.48715736,337.5987549, hillslope, 
Peel,267,67.58717536,-135.8014358,79182.87492,11105.97308,8.426243782,77.69353176,398.4230957, hillslope, 
Peel,268,67.59726459,-135.8727852,5501.795073,1409.132993,9.302332878,111.4639464,390.5683594, hillslope, 
Peel,269,67.55066465,-135.6808706,10218.43236,1860.278339,8.770202637,115.1839269,336.7201843, hillslope, 
Peel,270,67.54730642,-135.6733847,22808.99193,4299.805022,7.895075321,340.6894062,363.8920898, hillslope, 
Peel,271,67.55258314,-135.6746255,14330.39613,2272.435815,7.948073864,143.4882072,338.0448914, hillslope, 
Peel,272,67.54966403,-135.6671681,875.8422858,284.0544769,7.614774704,359.7948706,344.3139038, hillslope, 
Peel,273,67.58905593,-135.6322942,1282.105077,495.7029106,11.21165657,356.0176506,363.581604, hillslope, 
Peel,274,67.59515634,-135.3946713,7418.20482,1130.648212,10.479846,350.1460823,228.7608185, hillslope, 
Peel,275,67.59315437,-135.3870436,1825.856046,501.2726062,19.57553673,348.8056975,235.8163452, hillslope, 
Peel,276,67.51913094,-135.3069156,45525.44258,10523.0116,8.911315918,45.13778522,263.5768738, hillslope, 
Peel,277,67.52172677,-135.2962105,28246.61191,4133.178295,8.989998817,308.8261634,250.9334717, hillslope, 
Peel,278,67.47631849,-135.9316174,5096.171382,1264.320907,9.870958328,307.9706886,512.1509399, hillslope, 
Peel,279,67.47439926,-135.9410442,2076.816574,607.0968231,12.58878899,268.7752068,480.2088013, hillslope, 
Peel,280,67.43018144,-135.9320316,10082.45142,2227.87825,11.88341427,301.9648419,579.6876831, hillslope, 
Peel,281,67.42597016,-135.9332692,12190.34019,2450.666075,13.53047657,272.5978598,567.5671387, hillslope, 
Peel,282,67.42541898,-135.9229385,4068.079645,1453.690558,6.884223938,186.1930149,625.2666016, hillslope, 
Peel,283,67.43818985,-135.8411742,5878.941042,938.4937128,14.13255978,88.89059193,687.1083984, hillslope, 
Peel,284,67.4458399,-135.836001,83045.93901,10782.93073,13.00596523,200.6588941,747.7058105, hillslope, 
Peel,285,67.4773176,-135.7964471,143067.907,12827.00902,9.463165283,15.38982167,584.4483032, hillslope, 
Peel,286,67.4759411,-135.810603,6641.480952,2083.066164,11.45775795,70.71991089,609.012146, hillslope, 
Peel,287,67.47612998,-135.8165145,1062.721994,317.4726506,9.663549423,6.857103943,628.4382935, hillslope, 
Peel,288,67.47328793,-135.78928,12802.84693,3202.574984,7.098584175,53.96586442,588.0331421, hillslope, 
Peel,289,67.47641812,-135.7830175,2620.835166,790.8967787,8.964434624,59.5819237,563.0501709, hillslope, 
Peel,291,67.42557967,-135.8260476,11011.41947,2846.114464,10.60858536,38.37220243,627.9407959, hillslope, 
Peel,292,67.4251252,-135.7678446,5474.753799,1553.945079,8.475904465,123.8320718,526.1907959, hillslope, 
Peel,293,67.42454508,-135.7790896,978.8451106,484.5635194,9.72790432,147.8058381,542.5045776, hillslope, 
Peel,294,67.41646499,-135.8024501,3042.557738,924.5694737,10.85408592,108.9540107,616.017334, hillslope, 
Peel,295,67.44747823,-135.7971347,1051.870538,473.4241281,7.728636742,13.03872269,690.949646, hillslope, 
Peel,296,67.49612573,-135.6814595,25567.13195,4283.095936,7.990004063,169.6243816,465.8680115, lakeshore, 
Peel,297,67.45491146,-135.6895996,3820.850973,1008.114908,7.865462303,35.48300918,496.5275879, hillslope, 
Peel,299,67.43747682,-135.6535921,6696.027017,1626.351122,8.474013329,46.9295958,512.2856445, hillslope, 
Peel,300,67.43214475,-135.6398405,1691.227504,423.2968675,7.38624382,115.1556742,476.0940552, hillslope, 
Peel,301,67.40907883,-135.4687451,8194.625116,1643.060209,5.764754295,291.9398096,360.3588257, hillslope, 
