system:index,B11,B12,B2,B3,B4,B8,B8A,latitude,longitude,ndvi,ndwi,slump,.geo
00000000000000003ac8,2745,1481,1159,990,1010,2335,2741,75.00002853247508,101.71510492231155,0.3961136,0.40451127,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002c23,1876,887,1059,916,752,2770,3185,75.4562614567584,101.54235042929898,0.5729699,0.5029843,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002c7a,1830,888,1007,874,750,2547,2954,75.4562614567584,101.54235042929898,0.54504097,0.4890383,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003ca0,24,7,922,649,347,158,126,74.281921521525,101.0469175476548,-0.37425742,-0.6084263,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002924,966,511,1175,908,732,1075,1251,75.85860168570977,101.61426681108894,0.18981738,0.084215835,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000293d,2186,1284,1265,1083,1022,1876,2205,75.85860168570977,101.61426681108894,0.294686,0.26799595,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002991,2248,1402,1289,1103,1081,2048,2422,75.85860168570977,101.61426681108894,0.30904442,0.2999048,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a01,1811,1056,1147,951,895,1689,1985,75.85860168570977,101.61426681108894,0.30727553,0.27954546,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a1d,1792,1108,1156,988,930,1686,1966,75.85860168570977,101.61426681108894,0.28899083,0.26103216,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002aa4,1284,761,1140,864,787,1194,1349,75.85860168570977,101.61426681108894,0.20545179,0.16034986,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002ac0,2123,1270,1369,1115,1111,1711,2037,75.85860168570977,101.61426681108894,0.21261516,0.2108988,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000052c,2378,1248,1250,1051,974,2376,2779,75.11183603228919,97.2391261713784,0.41850746,0.38663554,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000538,2580,1388,1206,1048,1001,2375,2802,75.11183603228919,97.2391261713784,0.40699053,0.38767162,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004bc7,1296,869,1308,1112,1087,1154,1283,75.42290738087863,103.53140379980535,0.029897368,0.018534863,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004bd8,1218,847,1329,1113,1086,1137,1259,75.42290738087863,103.53140379980535,0.022941971,0.010666667,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000059df,2292,1325,1169,992,911,2118,2401,74.6391356478155,104.95519030706956,0.39848134,0.36205786,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000487,2030,1162,1155,1004,974,1958,2282,75.67143983719349,97.44999706019586,0.33560708,0.3220797,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000493,2310,1400,1388,1144,1104,1875,2135,75.67143983719349,97.44999706019586,0.25881168,0.24213316,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ba1,2844,1713,1331,1064,1109,1832,2152,75.56339135956743,103.63711570847939,0.24583475,0.26519337,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000546f,2430,1855,1453,1281,1366,1837,2149,75.90504768228246,105.48759805464891,0.14704964,0.17831944,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000451d,2300,1389,1133,956,953,1928,2203,74.94469108840183,102.4817492482284,0.33842415,0.3370319,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000010a4,2416,2138,1794,1577,1528,1495,1572,78.41637326367372,102.75352253923383,-0.0109163085,-0.026692709,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000005387,2801,1449,1146,1052,955,2951,3445,74.22748927496559,102.85971603082163,0.5110087,0.4743942,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020c2,1868,1056,1096,892,857,1666,1930,76.91627370098081,102.86957956235187,0.32065,0.30258015,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020c6,2003,1079,1217,985,929,1742,2039,76.91627370098081,102.86957956235187,0.3043804,0.27759442,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020ce,1320,662,1152,897,793,1381,1648,76.91627370098081,102.86957956235187,0.2704692,0.21246707,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020d5,1646,963,1301,998,918,1540,1820,76.91627370098081,102.86957956235187,0.25305125,0.21355398,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020de,1591,901,1688,1351,1321,2288,2577,76.91627370098081,102.86957956235187,0.26794127,0.2574883,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000020e3,1614,851,1084,855,825,1611,1900,76.91627370098081,102.86957956235187,0.3226601,0.30656934,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
